source,target,weight,docs
unknown person A,Jeffrey Epstein,1539,724
unknown person A,unknown person B,552,340
unknown person A (HOUSE_OVERSIGHT_027460) (HOUSE_OVERSIGHT_027460),Jeffrey Epstein,103,1
unknown person A,Donald Trump,85,74
unknown person A,unknown person C,81,65
unknown person A (HOUSE_OVERSIGHT_025707) (HOUSE_OVERSIGHT_025707),Jeffrey Epstein,67,1
unknown person A (HOUSE_OVERSIGHT_027281) (HOUSE_OVERSIGHT_027281),Jeffrey Epstein,65,1
unknown person A (HOUSE_OVERSIGHT_025734) (HOUSE_OVERSIGHT_025734),Jeffrey Epstein,61,1
unknown person A (HOUSE_OVERSIGHT_027333) (HOUSE_OVERSIGHT_027333),Jeffrey Epstein,60,1
unknown person A,Melanie Spinella,59,25
unknown person A (HOUSE_OVERSIGHT_027695) (HOUSE_OVERSIGHT_027695),Jeffrey Epstein,51,1
unknown person A (HOUSE_OVERSIGHT_027764) (HOUSE_OVERSIGHT_027764),Jeffrey Epstein,47,1
unknown person A,Alan M. Dershowitz,43,37
unknown person A,Bill Clinton,40,32
unknown person A,FBI,39,32
unknown person A (HOUSE_OVERSIGHT_027374) (HOUSE_OVERSIGHT_027374),Jeffrey Epstein,37,1
unknown person A (HOUSE_OVERSIGHT_027406) (HOUSE_OVERSIGHT_027406),Jeffrey Epstein,37,1
unknown person A (HOUSE_OVERSIGHT_027184) (HOUSE_OVERSIGHT_027184),Jeffrey Epstein,36,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_027568),Jeffrey Epstein,36,1
unknown person A (HOUSE_OVERSIGHT_027165) (HOUSE_OVERSIGHT_027165),Jeffrey Epstein,32,1
unknown person A (HOUSE_OVERSIGHT_018224) (HOUSE_OVERSIGHT_018224),Jeffrey Epstein,30,1
unknown person A (HOUSE_OVERSIGHT_029744) (HOUSE_OVERSIGHT_029744),Jeffrey Epstein,29,1
unknown person A (HOUSE_OVERSIGHT_027515) (HOUSE_OVERSIGHT_027515),Jeffrey Epstein,28,1
unknown person A,Palm Beach Police Department,28,25
unknown person A (TEXT-001-HOUSE_OVERSIGHT_027346),Jeffrey Epstein,27,1
unknown person A (HOUSE_OVERSIGHT_027225) (HOUSE_OVERSIGHT_027225),Jeffrey Epstein,26,1
unknown person A,Ghislaine Maxwell,25,19
unknown person A (HOUSE_OVERSIGHT_027346) (HOUSE_OVERSIGHT_027346),Jeffrey Epstein,25,1
unknown person A,Edward Snowden,25,22
unknown person A,Virginia Roberts Giuffre,24,21
unknown person A (HOUSE_OVERSIGHT_027794) (HOUSE_OVERSIGHT_027794),Jeffrey Epstein,24,1
unknown person A,unknown person D,23,21
unknown person A,"Prince Andrew, Duke of York",23,19
unknown person A,Yitzhak Rabin,22,18
unknown person A (HOUSE_OVERSIGHT_027434) (HOUSE_OVERSIGHT_027434),Jeffrey Epstein,22,1
unknown person A,Lawrence M. Krauss,22,11
unknown person A (HOUSE_OVERSIGHT_027250) (HOUSE_OVERSIGHT_027250),Jeffrey Epstein,22,1
unknown person A (HOUSE_OVERSIGHT_027445) (HOUSE_OVERSIGHT_027445),Jeffrey Epstein,22,1
unknown person A,Bradley James Edwards,21,20
Unknown person A (TEXT-001-HOUSE_OVERSIGHT_025436),Jeffrey Epstein,21,1
unknown person A (HOUSE_OVERSIGHT_027568) (HOUSE_OVERSIGHT_027568),Jeffrey Epstein,21,1
unknown person A (HOUSE_OVERSIGHT_032622),Jeffrey Epstein,21,1
Unknown person A (HOUSE_OVERSIGHT_027735) (HOUSE_OVERSIGHT_027735),Jeffrey Epstein,21,1
unknown person A,Shimon Peres,21,14
unknown person A (TEXT-001-HOUSE_OVERSIGHT_027585),Jeffrey Epstein,21,1
unknown person A (HOUSE_OVERSIGHT_031045) (HOUSE_OVERSIGHT_031045),Jeffrey Epstein,20,1
unknown person A,Yasser Arafat,20,15
unknown person A (HOUSE_OVERSIGHT_026210) (HOUSE_OVERSIGHT_026210),Jeffrey Epstein,20,1
unknown person A (HOUSE_OVERSIGHT_027217) (HOUSE_OVERSIGHT_027217),Jeffrey Epstein,19,1
unknown person A (HOUSE_OVERSIGHT_026198) (HOUSE_OVERSIGHT_026198),Jeffrey Epstein,19,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_027434),Jeffrey Epstein,19,1
unknown person A,Mica,18,3
unknown person A (HOUSE_OVERSIGHT_023661) (HOUSE_OVERSIGHT_023661),Jeffrey Epstein,18,1
unknown person A,Benjamin Netanyahu,18,10
unknown person A (HOUSE_OVERSIGHT_026237) (HOUSE_OVERSIGHT_026237),Jeffrey Epstein,17,1
unknown person A (HOUSE_OVERSIGHT_026204) (HOUSE_OVERSIGHT_026204),Jeffrey Epstein,17,1
unknown person A (HOUSE_OVERSIGHT_032676),Jeffrey Epstein,17,1
unknown person A (HOUSE_OVERSIGHT_025429) (HOUSE_OVERSIGHT_025429),Jeffrey Epstein,17,1
unknown person A,Agent Richards,17,14
unknown person A,Avraham,17,14
unknown person A (HOUSE_OVERSIGHT_032599),Jeffrey Epstein,16,1
unknown person A,Ehud Barak,16,13
unknown person A,Leon,16,11
unknown person A (TEXT-001-HOUSE_OVERSIGHT_031054),Jeffrey Epstein,16,1
unknown person A,Motta Gur,16,11
unknown person A (HOUSE_OVERSIGHT_027214) (HOUSE_OVERSIGHT_027214),Jeffrey Epstein,15,1
unknown person A (HOUSE_OVERSIGHT_027260) (HOUSE_OVERSIGHT_027260),Jeffrey Epstein,15,1
unknown person A (HOUSE_OVERSIGHT_032611),Jeffrey Epstein,15,1
unknown person A (HOUSE_OVERSIGHT_027650) (HOUSE_OVERSIGHT_027650),Jeffrey Epstein,15,1
unknown person A (HOUSE_OVERSIGHT_026188) (HOUSE_OVERSIGHT_026188),Jeffrey Epstein,15,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_029744),Jeffrey Epstein,15,1
unknown person A,Mr. Leopold,15,9
unknown person A,Nava,15,13
unknown person A,Barack Obama,14,12
unknown person A,Brad S. Karp,14,9
unknown person A,father,14,13
unknown person A,James Patterson,14,6
unknown person A (HOUSE_OVERSIGHT_027244) (HOUSE_OVERSIGHT_027244),Jeffrey Epstein,14,1
unknown person A (HOUSE_OVERSIGHT_025363) (HOUSE_OVERSIGHT_025363),Jeffrey Epstein,14,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_031045),Jeffrey Epstein,14,1
unknown person A,Eileen Alexandersson,14,13
unknown person A (HOUSE_OVERSIGHT_032595),Jeffrey Epstein,14,1
unknown person A,jeevacation@gmail.com,13,10
unknown person A (HOUSE_OVERSIGHT_022766) (HOUSE_OVERSIGHT_022766),Jeffrey Epstein,13,1
unknown person A (HOUSE_OVERSIGHT_032616),Jeffrey Epstein,13,1
unknown person A (HOUSE_OVERSIGHT_032591),Jeffrey Epstein,13,1
unknown person A (HOUSE_OVERSIGHT_027455) (HOUSE_OVERSIGHT_027455),Jeffrey Epstein,13,1
unknown person A (HOUSE_OVERSIGHT_032682),Jeffrey Epstein,13,1
unknown person A (HOUSE_OVERSIGHT_029113) (HOUSE_OVERSIGHT_029113),Jeffrey Epstein,13,1
unknown person A,Mr. Scarola,13,10
unknown person A,Mr. Tein,13,6
unknown person A (HOUSE_OVERSIGHT_027141) (HOUSE_OVERSIGHT_027141),Jeffrey Epstein,13,1
unknown person A,Ms. Bilafonia,12,7
unknown person A (TEXT-002-HOUSE_OVERSIGHT_032682),Jeffrey Epstein,12,1
unknown person A,New York,12,8
unknown person A,Nili,12,3
unknown person A (HOUSE_OVERSIGHT_026184) (HOUSE_OVERSIGHT_026184),Jeffrey Epstein,12,1
unknown person A,Joslin,12,10
unknown person A (HOUSE_OVERSIGHT_032672),Jeffrey Epstein,12,1
unknown person A,David L. Bazelon,12,6
unknown person A (HOUSE_OVERSIGHT_026180) (HOUSE_OVERSIGHT_026180),Jeffrey Epstein,12,1
unknown person A,Lawrence Summers,12,10
